100, 158991, 0, 0
200, 135767, 0, 0
300, 134130, 0, 0
400, 132641, 0, 0
500, 132177, 0, 0
600, 135274, 0, 0
609, 4143029, 1, 0
700, 143318, 0, 0
800, 137012, 0, 0
900, 140220, 0, 0
3500, 2593727339, 1, 0
3503, 2631560, 1, 0
3505, 2791623, 1, 0
3507, 1506986, 1, 0
3510, 2803629, 1, 0
3512, 1902348, 1, 0
3514, 2744242, 1, 0
3517, 2808843, 1, 0
3519, 1483718, 1, 0
3519, 138575, 0, 0
3519, 204703, 0, 0
3519, 196421, 0, 0
3520, 188627, 0, 0
3520, 182349, 0, 0
3520, 179507, 0, 0
3520, 192562, 0, 0
3520, 156230, 0, 0
3520, 158128, 0, 0
3521, 208860, 0, 0
3521, 146480, 0, 0
3521, 149718, 0, 0
3521, 147356, 0, 0
3521, 144349, 0, 0
3521, 143488, 0, 0
3522, 143130, 0, 0
3522, 142913, 0, 0
3522, 159171, 0, 0
3522, 152305, 0, 0
3522, 196363, 0, 0
3522, 187120, 0, 0
3523, 145771, 0, 0
3523, 178149, 0, 0
3523, 190532, 0, 0
3523, 141934, 0, 0
3523, 143728, 0, 0
3600, 142888, 0, 0
3626, 3143069, 1, 0
3700, 137080, 0, 0
3800, 132902, 0, 0
3900, 133825, 0, 0
3930, 3439085, 1, 0
4000, 132212, 0, 0
4100, 129749, 0, 0
4200, 131586, 0, 0
4230, 3669149, 1, 0
4300, 133465, 0, 0
4400, 133273, 0, 0
4500, 133728, 0, 0
4532, 3339787, 1, 0
4600, 133912, 0, 0
4700, 131780, 0, 0
4800, 135454, 0, 0
4833, 1778996, 1, 0
4900, 135140, 0, 0
5000, 140103, 0, 0
5100, 136383, 0, 0
7705, 2573118411, 1, 0
7708, 2744014, 1, 0
7711, 2804573, 1, 0
7713, 2782777, 1, 0
7716, 2797847, 1, 0
7718, 1507517, 1, 0
7720, 2686041, 1, 0
7723, 2786081, 1, 0
7726, 2862977, 1, 0
7726, 137302, 0, 0
7726, 202986, 0, 0
7727, 195421, 0, 0
7727, 153449, 0, 0
7727, 154586, 0, 0
7727, 204193, 0, 0
7727, 219573, 0, 0
7728, 147217, 0, 0
7728, 186567, 0, 0
7728, 182195, 0, 0
7728, 153935, 0, 0
7728, 182968, 0, 0
7728, 221298, 0, 0
7729, 152581, 0, 0
7729, 162735, 0, 0
7729, 156420, 0, 0
7729, 184832, 0, 0
7729, 150905, 0, 0
7729, 147601, 0, 0
7730, 145017, 0, 0
7730, 181008, 0, 0
7730, 145180, 0, 0
7730, 146550, 0, 0
7730, 184253, 0, 0
7730, 155273, 0, 0
7731, 141420, 0, 0
7800, 139666, 0, 0
7853, 1634825, 1, 0
7900, 134692, 0, 0
8000, 132584, 0, 0
8100, 139169, 0, 0
8154, 3456725, 1, 0
8200, 137780, 0, 0
8300, 141677, 0, 0
8400, 142172, 0, 0
8457, 3823774, 1, 0
8500, 138588, 0, 0
8600, 143577, 0, 0
8700, 147728, 0, 0
8761, 2205565, 1, 0
8800, 148636, 0, 0
8900, 294978, 0, 0
9000, 341808, 0, 0
9060, 3140296, 1, 0
9100, 302925, 0, 0
9200, 289787, 0, 0
9253, 289040, 0, 0
